epoch,train_loss,val_loss,train_acc,val_acc
1,1.422628,1.095690,0.410734,0.604982
2,1.103638,0.935549,0.586528,0.679715
3,0.917241,0.943831,0.697700,0.665480
4,0.773645,0.823185,0.758489,0.765125
5,0.656932,0.815371,0.779299,0.782918
6,0.581392,0.757828,0.821468,0.793594
7,0.537529,0.639441,0.827492,0.836299
8,0.474191,0.605026,0.856517,0.854093
9,0.415979,0.614653,0.887733,0.843416
10,0.402243,0.604628,0.873494,0.846975
11,0.344252,0.555340,0.909091,0.850534
12,0.340895,0.501691,0.907996,0.861210
13,0.280421,0.618638,0.927163,0.832740
14,0.269882,0.540267,0.924425,0.836299
15,0.260160,0.516781,0.936473,0.861210
16,0.253901,0.511970,0.926616,0.879004
17,0.232794,0.463253,0.939759,0.864769
18,0.218989,0.480308,0.936473,0.857651
19,0.193584,0.439981,0.943593,0.889680
20,0.187818,0.451848,0.950712,0.875445
